group.name,Endogenous.InDelphi.MS.Score,Endogenous.InDelphi.MS.Percentile,Endogenous.InDelphi.F.Frequency,Endogenous.InDelphi.F.Percentile,Left_accessibility_20bp,Left_accessibility_40bp,Left_accessibility_100bp,Left_accessibility_500bp,Left_accessibility_1kbp,Right_accessibility_20bp,Right_accessibility_40bp,Right_accessibility_100bp,Right_accessibility_500bp,Right_accessibility_1kbp,,Chromatin_size,ExonNumber,Position(aa),protein_length(aa),Position(relative),CNV_HMM_293T,Expression
EML2,0.07,5.5,76.5,44.6,69,156,489,8595,8771,129,254,472,1627,2034,chr19,59128983,6,141,650,0.216923077,3.15,0.704979711
FAM9C,1.98,98,19,0,942,1295,4314,16617,16991,818,1791,2724,6304,7440,chr19,59128983,1,4,350,0.011428571,3.16,0.606066486
FBXO10,0.74,61.6,70.9,27.6,16,36,131,814,1565,14,85,140,374,605,chr9,141213431,1,59,957,0.061650993,2.87,0.618241189
FOXF1,0.71,59.1,74.2,36.8,80,118,635,2335,8094,147,195,414,1749,3747,chr16,90354753,1,263,380,0.692105263,3.34,0.473233846
GLI4,0.63,51.8,79.1,55.1,44,81,174,933,1736,34,76,234,1018,2040,chr8,146364022,2,56,377,0.148541114,3.14,0.674496389
GPSM1,0.29,18.6,76.9,46.4,34,112,227,1046,2215,24,64,199,1046,2036,chr9,141213431,3,629,676,0.930473373,3.51,0.676779795
KBTBD2,0.12,7.4,82.2,68.6,0,33,106,317,495,28,49,93,269,521,chr7,159138663,2,61,624,0.09775641,3.2,0.699289317
KIAA0100,0.3,19.2,87.5,88.8,323,602,1132,1580,2020,103,350,1255,2810,4807,chr17,81195210,2,43,2236,0.019230769,NaN,0.810835743
KLRC3,0.74,61.6,89.2,93.1,29,29,51,150,150,4,4,51,235,521,chr12,133851895,2,69,241,0.286307054,3.11,0.140954154
LDB3,0.38,26.4,74.2,36.8,66,125,324,1064,1262,83,122,317,1100,2259,chr10,135534747,2,53,495,0.107070707,3,0.535517326
LGR6,0.59,48.2,75.2,40.2,29,44,194,1092,4038,39,78,230,977,1800,chr1,249250621,1,19,968,0.019628099,NaN,0.450118957
LHFP,0.37,24.6,84.6,78.8,39,115,153,385,775,48,111,193,523,947,chr13,115169878,2,150,201,0.746268657,3.04,0.724481615
MIA2,0.94,76,43.9,2.3,24,41,87,349,978,13,25,78,277,377,chr14,107349540,1,11,655,0.016793893,2.79,0.481477589
MS4A3,1.03,80.6,90.3,95.3,32,76,93,175,257,8,8,85,381,525,chr11,135006516,3,106,215,0.493023256,2.91,0.032509835
NDP,0.55,43.9,66.4,18.5,398,636,1072,1617,2022,426,885,2104,3299,3720,chrX,155270560,2,127,134,0.947761194,2.97,0.119567211
PDX1,0.8,66.4,67.3,19.9,0,11,66,550,1144,13,44,77,530,903,chr13,115169878,2,264,284,0.929577465,3.12,0.032509835
PQLC1,0.37,25.2,74.3,37.1,11,28,99,639,1250,10,26,80,572,1249,chr18,78077248,2,17,189,0.08994709,NaN,0.779630668
PRR3,0.61,50.1,54.7,6.4,65,66,143,430,642,30,51,121,462,1199,chr6,171115067,3,87,189,0.46031746,3.18,0.602509543
PTPN1,0.2,11.6,69.5,24.4,0,7,65,330,605,24,28,35,454,789,chr20,63025520,3,208,436,0.47706422,3.12,0.812915781
RAPGEF3,0.93,75.3,57.6,8.4,56,95,244,972,1959,38,71,181,885,1814,chr12,133851895,6,55,882,0.062358277,3.29,0.848627109
RHDBL,0.56,44.6,50.7,4.4,90,108,171,1058,2234,33,60,219,693,1463,chr16,90354753,2,81,374,0.21657754,3.24,0.496707719
RTN4R,1.56,94.6,79.5,56.7,36,76,136,1090,2046,29,67,165,1230,2413,chr22,51304566,2,139,246,0.56504065,NaN,0.447385059
SERPINB5,0.25,15.3,86.4,85.3,14,48,68,154,429,10,44,88,372,561,chr18,78077248,5,233,376,0.619680851,NaN,0.184960959
SIM2,,,,,71,121,608,4088,12244,51,196,735,2662,5188,chr21,48129895,1,57,171,0.333333333,NaN,0.696132582
SLC25A46,,,,,9,25,31,163,427,44,57,57,338,1465,chr5,180915260,7,119,328,0.362804878,2.84,0.717355585
SLC5A9,0.62,51.2,70.5,26.5,18,42,121,600,2404,26,41,107,478,1024,chr1,249250621,3,108,707,0.152758133,2.78,0.597594117
TIGD2,0.32,20.2,72.6,32,11,11,15,323,1518,33,41,77,334,809,chr4,191154276,1,7,526,0.013307985,3.15,0.52999832
WDR92,0.46,35.1,90.7,95.9,0,11,22,143,341,0,11,63,343,793,chr2,243199373,2,94,358,0.262569832,3.06,0.562933409
WFDC2,0.03,4.2,65.1,16.4,16,67,222,1004,2817,53,120,191,1056,2027,chr20,63025520,2,60,125,0.48,3.11,0.888760623
ZBED4,0.32,20.7,78.7,53.6,37,57,136,797,1725,73,85,178,695,1258,chr22,51304566,1,1121,1172,0.956484642,NaN,0.645067026
