# amplicon position	effect
305	5.000000000000000000e+00
306	8.000000000000000000e+00
307	2.000000000000000000e+00
308	4.000000000000000000e+00
309	1.000000000000000000e+00
310	1.000000000000000000e+01
311	6.000000000000000000e+00
312	5.000000000000000000e+00
313	7.000000000000000000e+00
314	1.000000000000000000e+00
315	6.000000000000000000e+00
316	1.000000000000000000e+00
317	2.000000000000000000e+00
318	6.000000000000000000e+00
319	0.000000000000000000e+00
320	1.000000000000000000e+00
321	5.000000000000000000e+00
322	0.000000000000000000e+00
323	1.000000000000000000e+00
324	4.000000000000000000e+00
325	5.000000000000000000e+00
326	8.000000000000000000e+00
327	9.000000000000000000e+00
328	1.500000000000000000e+01
329	4.000000000000000000e+00
330	6.000000000000000000e+00
331	3.000000000000000000e+00
